YYYY,MM,DD,hh,mm,ss.ss,Lat(deg),Long(deg),depth(km)
2014,02,04,20,22,36.48,37.630570,-119.022786,4.924
2014,02,04,20,27,20.68,37.632076,-119.021965,4.926
2014,02,04,20,30,17.20,37.631087,-119.021981,4.889
2014,02,04,20,32,29.52,37.631620,-119.019482,4.916
2014,02,04,20,41,06.44,37.630131,-119.023014,4.789
2014,02,04,20,52,55.48,37.631771,-119.020125,4.806
2014,02,04,20,53,04.00,37.631527,-119.020044,4.866
2014,02,04,20,53,38.40,37.629830,-119.023112,4.908
2014,02,04,21,24,55.40,37.631608,-119.020182,4.908
2014,02,04,21,28,20.52,37.632857,-119.021134,4.842
2014,02,04,21,41,07.00,37.627909,-119.020776,5.048
2014,02,04,21,42,58.16,37.629622,-119.023307,4.877
2014,02,04,21,54,07.00,37.632288,-119.021102,4.878
2014,02,04,21,54,43.40,37.632353,-119.020711,4.845
2014,02,04,22,01,54.48,37.630172,-119.022062,4.984
2014,02,04,22,03,19.92,37.630139,-119.021802,5.067
2014,02,04,22,53,24.08,37.632357,-119.019865,4.858
2014,02,04,23,03,57.48,37.631152,-119.021134,4.923
2014,02,04,23,18,57.20,37.630896,-119.021981,4.907
2014,02,05,00,04,17.58,37.631978,-119.022119,4.864
2014,02,05,00,17,31.64,37.630908,-119.020785,4.875
2014,02,05,00,20,30.39,37.629683,-119.023641,4.891
2014,02,05,00,20,51.48,37.629700,-119.023617,4.883
2014,02,05,01,00,28.17,37.630265,-119.022192,4.946
2014,02,05,01,03,35.02,37.629704,-119.024056,4.902
2014,02,05,01,06,00.00,37.629736,-119.024023,4.892
2014,02,05,01,40,49.29,37.632003,-119.022225,4.932
2014,02,05,01,53,54.30,37.632511,-119.021989,4.897
2014,02,05,01,56,46.69,37.629936,-119.022412,4.940
2014,02,05,02,03,00.00,37.633354,-119.022559,4.826
2014,02,05,02,03,11.42,37.632410,-119.022054,4.882
2014,02,05,02,03,17.60,37.631921,-119.021403,4.894
2014,02,05,02,03,24.93,37.631348,-119.021216,4.904
2014,02,05,02,03,33.31,37.631685,-119.021558,4.870
2014,02,05,02,04,44.46,37.631970,-119.021354,4.886
2014,02,05,02,05,29.53,37.630021,-119.024211,4.900
2014,02,05,02,11,08.12,37.632320,-119.019832,4.783
2014,02,05,02,21,25.24,37.631767,-119.021370,4.887
2014,02,05,02,24,14.04,37.631657,-119.021362,4.907
2014,02,05,02,28,59.37,37.631942,-119.021370,4.885
2014,02,05,02,29,27.35,37.629814,-119.023145,4.920
2014,02,05,02,29,38.44,37.630025,-119.023161,4.902
2014,02,05,02,29,55.50,37.631722,-119.021322,4.892
2014,02,05,02,34,18.39,37.631234,-119.022176,4.888
2014,02,05,02,35,02.00,37.631380,-119.022437,4.883
2014,02,05,02,51,10.49,37.629594,-119.034017,4.687
